Term | File path | Line numbers
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\prTracking.js | 1,2
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\progression.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\schedule.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\scheduleHelpers.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\stateBridge.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\validate.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\validation.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\warmup.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\selectors\programSelectors.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\methods\531\components\ProgramWizard531V2.jsx | 20
FiveThreeOne | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step3DesignCustom.jsx | 28
FiveThreeOne | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step4ReviewExport.jsx | 19,517
FiveThreeOne | tracker-ui-good\tracker-ui\src\methods\531\engines\FiveThreeOneEngine.v2.js | 2,4
FiveThreeOne | tracker-ui-good\tracker-ui\src\methods\531\index.js | 15
FiveThreeOne | tracker-ui-good\tracker-ui\src\pages\History.jsx | 4,5,6
FiveThreeOne | tracker-ui-good\tracker-ui\src\pages\PrintWeek.jsx | 4,5,6
FiveThreeOne | tracker-ui-good\tracker-ui\src\pages\Program.jsx | 5,31,34,59,66
FiveThreeOne | tracker-ui-good\tracker-ui\src\pages\TrainToday.jsx | 4,5,7
531 | .github\workflows\deploy-fixed.yml | 5
531 | .github\workflows\deploy.yml | 5
531 | .github\workflows\ui-check.yml | 6
531 | COMPLETE_PHASE_1_MAPPING.md | 146
531 | DETAILED_REFACTORING_ANALYSIS.md | 278,289
531 | FRAMEWORK_DATA_FLOW_MAPPING.md | 248
531 | MASTER_DEVELOPMENT_PLAN.md | 148
531 | METHODOLOGY_FIRST_REFACTOR_PLAN.md | 112,132
531 | MULTI_PHASE_LEADER_ANCHOR_DESIGN.md | 191,193
531 | PHASE_1_CONTENT_MAPPING.md | 145,175,177
531 | PROGRAM_DESIGN_LIBRARY_DOCUMENTATION.md | 17,280
531 | README.md | 304,307,314
531 | e2e-standalone\playwright-report\index.html | 49
531 | js\algorithms\bromleyProgression.js | 310
531 | js\algorithms\examples\systemUsageExamples.js | 26,60,70,146,153
531 | js\algorithms\fiveThreeOne.js | 206,232,306,307,337,386,421
531 | js\algorithms\trainingSystemSelector.js | 18,30,54,58,132
531 | js\algorithms\volume.js | 11,77,125,186,207
531 | js\examples\goalBasedExample.js | 42
531 | js\utils\goalBasedSelector.js | 14,15,42,43,110
531 | js\utils\methodologySelector.js | 21,33,39,92,93,104,106,182
531 | methodology\packs\531.bbb.v1.jsonc | 3,534
531 | methodology\packs\531.bbb60.same.v1.jsonc | 4,125,272
531 | methodology\verification\531.bbb60.same.v1.verifier.jsonc | 4,7,20,86,152
531 | methodology\verification\531.v1.verifier.jsonc | 3
531 | package-lock.json | 7847
531 | package.json | 13
531 | playwright-report\index.html | 49
531 | public\methodology\packs\531.bbb.v1.jsonc | 3,534
531 | public\methodology\packs\531.bbb60.same.v1.jsonc | 4,125,272
531 | scripts\verify-531.mjs | 10,21,24,29,34,35,151,358,414,551
531 | tracker-ui-good\package-lock.json | 7461,8894
531 | tracker-ui-good\playwright-report\index.html | 49
531 | tracker-ui-good\pnpm-lock.yaml | 2948
531 | tracker-ui-good\tracker-ui\__tests__\hooks\algorithmHooks.test.jsx | 10
531 | tracker-ui-good\tracker-ui\public\methodology\packs\531.bbb.v1.jsonc | 1,5,307
531 | tracker-ui-good\tracker-ui\public\methodology\verification\531.v1.verifier.jsonc | 4
