"Type","Abbreviation","Sets x Reps","Percentage","When to Use","Pairs With","Book","Page"
"First Set Last","FSL","5×5–8","65–75%","Volume accumulation","Anchor","Forever","34"
"Second Set Last","SSL","5×5","70–85%","Strength focus","Leader","Forever","38"
"Boring But Big","BBB","5×10","50–70%","Hypertrophy / volume","Leader","Forever","52"
"Boring But Strong","BBS","10×5","70% (FSL)","Strength + volume","Leader","Forever","70"
"Spinal Tap Supplemental","SST","Varies (3×10, 5×8, etc.)","50–85% waves","Advanced / Anchor only","Anchor","Forever","190"
